마케팅신업종,,,,,,,,표준산업분류(KSIC10),,,
KBMLC,KBMLN,KBMMC,KBMMN,KBMSC,KBMSN,KBMSSC,KBMSSN,BZC_CD,BZC_NM,BZC_CD1,BZC_CD3
S,서비스,S04,생활편의서비스,S040,광고/인쇄서비스,S04003,인쇄업,C18111,경 인쇄업,C,C18
E,기타,E02,기업,E020,NULL,E02006,제조관련업,C33999,그 외 기타 달리 분류되지 않은 제품 제조업,C,C33
E,기타,E02,기업,E020,NULL,E02001,건축/건설/설비,F42209,기타 건물 관련설비 설치 공사업,F,F42
R,소매업,R22,차량판매,R220,NULL,R22001,국산자동차,G45110,자동차 신품 판매업,G45,G45
R,소매업,R22,차량판매,R220,NULL,R22002,수입자동차,G45110,자동차 신품 판매업,G45,G45
R,소매업,R22,차량판매,R220,NULL,R22003,수입중고자동차,G45110,자동차 신품 판매업,G45,G45
R,소매업,R22,차량판매,R220,NULL,R22005,중고자동차,G45110,자동차 신품 판매업,G45,G45
R,소매업,R21,차량부품,R210,NULL,R21001,네비게이션,G45212,자동차용 전용 신품 부품 판매업,G45,G45
R,소매업,R21,차량부품,R210,NULL,R21002,자동차부품,G45212,자동차용 전용 신품 부품 판매업,G45,G45
R,소매업,R21,차량부품,R210,NULL,R21003,카오디오전문점,G45212,자동차용 전용 신품 부품 판매업,G45,G45
R,소매업,R21,차량부품,R210,NULL,R21004,타이어,G45212,자동차용 전용 신품 부품 판매업,G45,G45
R,소매업,R22,차량판매,R220,NULL,R22004,오토바이,G45302,모터사이클 및 부품 소매업,G45,G45
E,기타,E03,도매,E030,NULL,E03003,식품도매,G46319,기타 신선 식품 및 단순 가공 식품 도매업,G46,G46
E,기타,E03,도매,E030,NULL,E03004,의약품도매,G46441,의약품 도매업,G46,G46
R,소매업,R20,종합소매,R200,NULL,R20001,기타대형종합소매업,G47119,기타 대형 종합 소매업,G46,G46
R,소매업,R20,종합소매,R200,NULL,R20006,연금/복지매장,G47119,기타 대형 종합 소매업,G46,G46
R,소매업,R20,종합소매,R200,NULL,R20008,종합생활용품,G47119,기타 대형 종합 소매업,G46,G46
R,소매업,R20,종합소매,R200,NULL,R20009,준대형마트,G47119,기타 대형 종합 소매업,G46,G46
E,기타,E03,도매,E030,NULL,E03001,기계도매,G46599,그 외 기타 기계 및 장비 도매업,G46,G46
E,기타,E03,도매,E030,NULL,E03002,비기계류도매,G46800,상품 종합 도매업,G46,G46
R,소매업,R20,종합소매,R200,NULL,R20004,백화점,G47111,백화점,G47,G47
R,소매업,R16,음식료품소매,R160,NULL,R16001,건어물,G47213,건어물 및 젓갈류 소매업,G47,G47
R,소매업,R16,음식료품소매,R160,NULL,R16003,농산물,G47215,"채소, 과실 및 뿌리작물 소매업",G47,G47
R,소매업,R16,음식료품소매,R160,NULL,R16006,수산물,G47214,"신선, 냉동 및 기타 수산물 소매업",G47,G47
R,소매업,R16,음식료품소매,R160,NULL,R16011,축산물,G47212,육류 소매업,G47,G47
R,소매업,R20,종합소매,R200,NULL,R20002,대형마트/할인점,G47112,대형 마트,G47,G47
R,소매업,R16,음식료품소매,R160,NULL,R16002,과자소매점,G47216,"빵류, 과자류 및 당류 소매업",G47,G47
R,소매업,R16,음식료품소매,R160,NULL,R16005,생수,G47121,슈퍼마켓,G47,G47
R,소매업,R16,음식료품소매,R160,NULL,R16007,식료품,G47121,슈퍼마켓,G47,G47
